#,Name,Team,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%
42,Jorge Alcala,MIN,54.7%,96.8,39.1%,88.3,0,0,0,0,6.2%,88.8,0,0,0,0,0
43,Jose Cisnero,DET,53.7%,96.7,37.9%,88.4,0,0,0,0,8.4%,90.8,0,0,0,0,0
44,Daniel Hudson,WSN,71.6%,96.7,25.5%,88.6,0,0,0,0,2.8%,88.5,0,0,0,0,0
45,Trevor Megill,CHC,63.9%,96.7,13.9%,86.6,0,0,22.2%,82.5,0,0,0,0,0,0,0
46,David Bednar,PIT,57.5%,96.7,0,0,0,0,20.7%,76.4,0,0,21.8%,89.5,0,0,0
47,Liam Hendriks,CHW,77.8%,96.7,15.0%,88.3,0,0,7.2%,84.5,0,0,0,0,0,0,0
48,Craig Kimbrel,CHC,61.6%,96.7,0,0,0,0,38.4%,86.1,0,0,0,0,0,0,0
49,Ryan Helsley,STL,53.9%,96.6,0,0,31.9%,87.4,8.2%,78.1,6.0%,87.5,0,0,0,0,0
50,Huascar Ynoa,ATL,48.9%,96.6,45.4%,85.0,0,0,0,0,5.6%,88.1,0,0,0,0,0
51,Chris Rodriguez,LAA,65.1%,96.6,4.1%,90.3,0,0,24.1%,84.9,6.6%,89.9,0,0,0,0,0
52,Tejay Antone,CIN,32.6%,96.6,31.9%,83.0,0,0,35.6%,79.5,0,0,0,0,0,0,0
53,Robert Stephenson,COL,54.1%,96.4,43.9%,83.4,0,0,0,0,2.0%,87.5,0,0,0,0,0
54,Jake Brentz,KCR,58.2%,96.4,32.7%,84.0,0,0,0,0,9.2%,89.7,0,0,0,0,0
55,Corey Knebel,LAD,52.8%,96.4,0,0,0,0,47.2%,80.4,0,0,0,0,0,0,0
56,Garrett Crochet,CHW,69.2%,96.4,18.6%,82.5,0,0,0,0,12.2%,91.5,0,0,0,0,2.6%
57,Genesis Cabrera,STL,56.9%,96.4,0,0,0,0,24.8%,80.5,18.3%,87.7,0,0,0,0,0
58,Adrian Morejon,SDP,62.5%,96.3,5.0%,85.5,0,0,16.3%,79.2,0,0,16.3%,84.8,0,0,0
59,Michael Kopech,CHW,62.8%,96.3,23.2%,85.0,0,0,8.7%,79.3,5.4%,90.0,0,0,0,0,0
60,Tyler Matzek,ATL,70.4%,96.3,18.0%,85.2,0,0,11.6%,81.6,0,0,0,0,0,0,0
61,Josh Hader,MIL,65.2%,96.2,29.3%,84.3,0,0,0,0,5.5%,86.7,0,0,0,0,0
62,Spencer Howard,PHI,73.2%,96.2,15.5%,86.3,0,0,4.1%,75.8,7.2%,81.0,0,0,0,0,0
63,Dan Altavilla,SDP,50.0%,96.2,50.0%,90.0,0,0,0,0,0,0,0,0,0,0,0
64,Carlos Estevez,COL,64.0%,96.2,17.1%,87.4,0,0,0,0,18.9%,88.0,0,0,0,0,0
65,Jose Ruiz,CHW,59.5%,96.1,4.2%,88.6,0,0,32.1%,84.2,4.2%,90.3,0,0,0,0,2.1%
66,Aaron Bummer,CHW,73.4%,96.1,16.2%,83.1,10.4%,88.6,0,0,0,0,0,0,0,0,0
67,Dylan Cease,CHW,53.9%,96.1,28.7%,85.7,0,0,9.7%,78.5,7.6%,80.0,0,0,0,0,0
68,Jordan Holloway,MIA,37.6%,96.1,51.5%,86.6,0,0,10.9%,80.3,0,0,0,0,0,0,0
