#,Name,Team,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C
149,Paul Goldschmidt,STL,1.5,-2.7,-1.1,-1.0,1.7,-0.2,0,0.61,-1.94,-3.97,-2.74,2.79,-2.53,0
150,Jorge Polanco,MIN,1.4,-1.2,1.3,-0.4,-0.4,0.1,0,0.68,-1.76,3.26,-1.01,-0.46,1.77,0
151,Alex Bregman,HOU,1.4,0.5,-2.1,2.0,1.3,0.0,0,0.83,0.89,-5.07,5.38,2.07,1.34,0
152,Daulton Varsho,ARI,1.4,0.2,0,-0.2,-0.2,0,0,12.71,1.79,0,-5.36,-2.61,0,0
153,J.D. Davis,NYM,1.4,0.2,0.7,1.9,1.2,0,0,1.07,0.67,8.12,8.12,13.83,0,0
154,Mitch Garver,MIN,1.4,-3.1,-0.5,0.1,1.4,-0.3,0,0.90,-4.19,-2.30,0.64,3.71,-13.27,0
155,Raimel Tapia,COL,1.4,-0.1,-0.4,1.7,2.8,1.4,0,0.55,-0.23,-1.30,3.96,4.86,35.13,0
156,Willians Astudillo,MIN,1.3,0.7,-1.6,-1.2,1.2,0.8,0,2.03,1.51,-10.96,-5.90,8.78,16.20,0
157,Keibert Ruiz,LAD,1.3,0,-0.2,0,0,0.0,0,66.96,0,-18.56,0,0,-0.62,0
158,Kyle Garlick,MIN,1.3,-2.7,0.2,1.1,-0.6,0,0,2.49,-12.18,1.03,28.38,-1.87,0,0
159,Jonathan India,CIN,1.3,-0.2,-0.7,0.0,-2.7,-0.4,0,0.82,-0.25,-4.10,0.01,-5.61,-19.23,0
160,Tommy Edman,STL,1.3,3.2,0.6,-0.7,1.4,0.3,0,0.42,4.39,2.21,-1.58,1.32,8.15,0
161,Aaron Judge,NYY,1.2,0.4,1.5,2.3,-0.1,-0.1,0,0.60,0.30,2.82,5.16,-0.24,-1.53,0
162,Amed Rosario,CLE,1.2,-2.3,0.4,-0.9,-3.2,0.0,0,0.81,-2.62,2.95,-5.53,-6.61,0.27,0
163,Trey Mancini,BAL,1.2,0.5,1.4,0.2,-2.2,-0.7,0,0.53,0.48,3.95,0.36,-3.04,-9.74,0
164,Jon Berti,MIA,1.2,-2.3,1.1,-0.5,-0.7,1.2,0,0.62,-3.49,3.67,-1.66,-3.68,38.59,0
165,Jake Cronenworth,SDP,1.1,0.0,-1.3,2.2,-0.7,-1.2,0,0.36,-0.05,-4.16,5.92,-1.02,-12.82,0
166,Nick Senzel,CIN,1.1,-1.9,-1.1,2.5,-0.2,-0.2,0,0.75,-2.15,-4.95,8.97,-1.85,-6.63,0
167,Jake Lamb,CHW,1.1,0.5,-0.3,-1.0,-0.2,-0.9,0,1.68,3.41,-8.82,-5.22,-1.21,-18.72,0
168,Yonathan Daza,COL,1.1,-2.1,-0.6,1.0,-2.1,-0.2,0,0.84,-4.05,-3.96,3.64,-6.66,-10.63,0
169,Tyler Naquin,CIN,1.0,0.5,-0.2,-0.2,4.6,-0.2,0,0.45,1.63,-1.20,-0.57,16.50,-6.34,0
170,Yoan Moncada,CHW,1.0,3.0,1.5,0.0,-2.4,-0.1,0,0.40,5.43,5.29,0.05,-3.20,-0.57,0
171,Jordy Mercer,WSN,1.0,0.8,0,-0.2,-1.1,0,0,1.84,2.53,0,-4.50,-7.60,0,0
172,Andrelton Simmons,MIN,1.0,-1.2,-0.3,0.4,-0.2,-0.2,0,0.85,-1.45,-1.34,1.63,-1.16,-9.71,0
173,Kyle Lewis,SEA,1.0,0.4,-1.3,-0.7,-0.9,-0.3,0,0.97,0.72,-7.91,-3.17,-3.10,-5.28,0
174,Josh Bell,WSN,0.9,0.3,-1.1,1.5,-4.3,-0.6,0,0.73,0.79,-5.58,9.59,-8.12,-8.87,0
175,LaMonte Wade Jr.,SFG,0.9,0.0,0,0.3,-0.7,0,0,6.57,1.48,0,3.59,-6.58,0,0
176,Chad Pinder,OAK,0.9,0.0,0.0,-0.3,0.0,-0.1,0,5.00,0.00,-3.88,-25.14,4.47,-4.51,0
177,Ryan O'Hearn,KCR,0.9,-0.9,-0.8,1.1,0.0,1.4,0,1.36,-4.45,-5.67,7.50,-0.32,15.22,0
178,Anthony Santander,BAL,0.9,-2.2,-1.0,0.3,-0.5,0.4,0,0.74,-5.39,-5.43,0.99,-1.12,12.95,0
179,Matt Adams,COL,0.9,-0.4,0,-0.4,0.2,0,0,3.18,-3.58,0,-8.32,2.96,0,0
180,Brian Anderson,MIA,0.9,-3.1,0.0,-1.1,0.4,-0.2,0,0.59,-5.27,0.16,-4.38,2.38,-4.13,0
181,Wil Crowe,PIT,0.8,0.0,-0.1,0,0,0,0,20.22,3.25,-5.99,0,0,0,0
182,Randal Grichuk,TOR,0.8,-0.5,-0.8,2.4,1.6,0.0,0,0.45,-0.62,-2.13,4.90,4.74,4.47,0
183,Erik Gonzalez,PIT,0.8,-3.6,-0.9,0.5,-2.1,-0.7,0,0.54,-3.65,-2.55,2.66,-7.62,-8.65,0
184,Jean Segura,PHI,0.8,1.4,-0.4,-1.1,0.0,-0.6,0,0.65,2.73,-3.25,-4.14,0.28,-10.33,0
185,Christian Arroyo,BOS,0.8,-1.8,0.7,-0.3,1.2,0.0,0,0.50,-2.60,2.68,-1.18,3.59,0.11,0
186,Jordan Luplow,CLE,0.8,1.3,2.1,-0.7,0.4,0.0,0,0.45,1.86,8.44,-2.48,0.72,-0.71,0
187,Aristides Aquino,CIN,0.7,-0.6,0,1.4,-0.5,0,0,3.05,-3.29,0,68.32,-9.60,0,0
188,Tony Kemp,OAK,0.7,-0.2,-0.2,-0.7,0.2,0,0,0.63,-0.37,-1.95,-4.07,2.51,0,0
189,Christian Walker,ARI,0.7,-3.4,0.2,-0.5,-1.3,0,0,0.64,-5.43,2.82,-5.02,-7.82,0,0
190,Tejay Antone,CIN,0.7,0,-0.3,0,0.0,0,0,5.79,0,-4.40,0,-0.75,0,0
191,Charlie Blackmon,COL,0.7,-0.1,-1.5,0.3,-0.5,0,0,0.38,-0.25,-6.19,0.78,-0.71,0,0
192,Yasmani Grandal,CHW,0.7,0.6,-0.7,0.0,-1.1,-0.3,0,0.39,1.80,-3.67,-0.03,-1.78,-3.17,0
193,Ehire Adrianza,ATL,0.7,1.5,-0.9,0.2,-0.7,0.0,0,0.84,9.26,-7.45,0.90,-6.03,0.60,0
194,Matt Carpenter,STL,0.6,-1.1,0.2,0.0,-1.8,-0.2,0,0.47,-2.92,1.00,0.07,-4.47,-16.78,0
