#,Name,Team,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C
118,John Means,BAL,1.6,3.0,0,2.8,10.6,0,0,0.33,3.94,0,2.44,3.95,0,0
119,Clay Holmes,PIT,1.6,1.6,0,0.6,0,0,0,0.89,1.45,0,0.72,0,0,0
120,Paul Fry,BAL,1.6,3.4,0,0,0.1,0,0,0.90,3.16,0,0,5.79,0,0
121,Craig Stammen,SDP,1.5,0.0,2.4,1.7,-0.1,0,0,0.79,2.03,2.03,1.33,-4.12,0,0
122,Caleb Smith,ARI,1.5,-0.9,0,0.2,-0.9,0,0,0.54,-0.62,0,0.33,-0.71,0,0
123,Alex Blandino,CIN,1.5,0,0,-0.1,-0.1,0,-0.6,5.60,0,0,-4.74,-1.09,0,-6.37
124,Jake McGee,SFG,1.5,-0.5,0,0,0,0,0,0.52,-1.44,0,0,0,0,0
125,Mike Minor,KCR,1.5,-0.8,0,-0.3,-0.9,0,0,0.42,-0.33,0,-0.20,-0.49,0,0
126,Nick Sandlin,CLE,1.5,1.7,0,0,0,-0.1,0,1.73,2.31,0,0,0,-0.63,0
127,Aaron Loup,NYM,1.4,-1.0,-1.3,0,1.1,0,0,1.67,-4.34,-1.68,0,9.05,0,0
128,Tyler Chatwood,TOR,1.4,0,5.1,0.0,0.0,0,0,0.93,0,4.05,0.31,-0.10,0,0
129,Adam Ottavino,BOS,1.4,4.0,-1.3,0,0,0,0,0.84,2.01,-10.96,0,0,0,0
130,Keegan Akin,BAL,1.4,-0.9,0,-0.1,0.3,0,0,1.33,-4.65,0,-5.82,0.60,0,0
131,Scott Kazmir,SFG,1.4,0,1.0,0,-1.2,0,0,3.73,0,20.36,0,-9.96,0,0
132,Hector Neris,PHI,1.4,0.2,0,0,0,1.4,0,0.85,2.36,0,0,0,0.72,0
133,Liam Hendriks,CHW,1.4,1.0,0,-0.6,0,0,0,0.58,1.74,0,-2.42,0,0,0
134,Paolo Espino,WSN,1.4,1.2,0,1.2,-0.6,0,0,1.17,3.66,0,3.61,-21.06,0,0
135,Taylor Rogers,MIN,1.3,0.3,0,0,0,0,0,0.86,0.16,0,0,0,0,0
136,Tim Hill,SDP,1.3,1.0,0,0,-0.1,0,0,0.50,1.33,0,0,-9.49,0,0
137,Heath Hembree,CIN,1.3,2.3,0,-0.1,0,0,0,1.05,2.05,0,-3.88,0,0,0
138,Jose Alvarez,SFG,1.3,-2.2,-0.4,0,-0.6,0,0,0.88,-4.51,-2.56,0,-0.81,0,0
139,Collin McHugh,TBR,1.3,0.5,-1.0,0.1,0.0,0,0,2.49,0.33,-1.33,0.71,-2.58,0,0
140,Drew Smith,NYM,1.2,0,-1.1,0.0,0.1,0,0,2.25,0,-3.66,-3.45,6.25,0,0
141,Devin Smeltzer,MIN,1.2,-0.3,0,-0.3,1.5,0,0,5.88,-7.54,0,-34.55,5.85,0,0
142,Cody Ponce,PIT,1.2,-1.5,-0.9,-0.2,-1.1,0,0,3.20,-8.66,-7.11,-1.44,-22.58,0,0
143,Dane Dunning,TEX,1.2,-0.8,-1.4,-0.8,0.6,0,0,0.28,-0.53,-2.85,-3.99,0.72,0,0
144,Ashton Goudeau,CIN,1.2,0,0,0.6,0.3,0,0,5.45,0,0,3.99,3.36,0,0
145,Jeffrey Springs,TBR,1.2,-1.1,0,0,0.4,0,0,0.83,-0.91,0,0,0.39,0,0
146,Ryan Pressly,HOU,1.2,5.1,0,1.4,0,0,0,0.93,5.06,0,1.95,0,0,0
147,Jose Quijada,LAA,1.2,0.0,0,0,-0.2,0,0,9.79,3.92,0,0,-5.87,0,0
148,Kenley Jansen,LAD,1.2,1.8,5.5,0,0,0,0,1.13,5.26,2.63,0,0,0,0
149,Keynan Middleton,SEA,1.2,2.3,0,0,1.3,0,0,0.93,3.17,0,0,4.79,0,0
150,Jorge Alcala,MIN,1.2,1.1,0,0,1.4,0,0,0.78,1.06,0,0,6.46,0,0
151,Nick Wittgren,CLE,1.2,-0.4,0,0,0.3,0,0,0.74,-1.18,0,0,0.54,0,0
152,Anthony Castro,TOR,1.1,0,0,0.7,0.1,0,0,2.11,0,0,0.88,1.66,0,0
153,Yusmeiro Petit,OAK,1.1,0,-1.8,1.8,3.5,0,0,0.64,0,-1.69,3.90,5.05,0,0
154,Luis Patino,TBR,1.1,2.6,0,-0.8,-0.8,0,0,0.64,2.90,0,-7.66,-4.65,0,0
155,Spencer Howard,PHI,1.1,-1.3,0,0.4,-0.9,0,0,0.66,-5.12,0,4.39,-3.13,0,0
156,Ryan Yarbrough,TBR,1.1,0.7,-2.2,0,-1.3,0,0,1.17,0.52,-0.61,0,-0.59,0,0
157,Kyle McGowin,WSN,1.1,-0.8,0,0,0,0,0,2.32,-0.65,0,0,0,0,0
158,Kent Emanuel,HOU,1.1,-1.6,0,0,1.9,0,0,0.86,-2.31,0,0,4.08,0,0
159,Ljay Newsome,SEA,1.1,0,0,-2.5,-5.5,0,0,0.67,0,0,-4.94,-8.49,0,0
160,A.J. Puk,OAK,1.0,0.2,0,0.0,-0.2,0,0,2.43,1.17,0,0.00,-4.20,0,0
161,Joe Kelly,LAD,1.0,0,0,-2.1,-2.7,0,0,1.96,0,0,-6.31,-12.14,0,0
162,Jean Carlos Mejia,CLE,1.0,0.5,0,0.1,0.3,0,0,3.05,6.01,0,4.63,3.06,0,0
163,Alex McRae,CHW,1.0,-0.2,0,0,-1.0,0,0,3.68,-2.63,0,0,-7.99,0,0
164,Josh Tomlin,ATL,1.0,0,-2.4,-5.5,-0.3,0,0,1.30,0,-1.23,-4.79,-5.10,0,0
165,Travis Lakins,BAL,1.0,0,-3.6,0.6,0.3,0,0,1.21,0,-2.79,1.00,1.35,0,0
166,Julian Merryweather,TOR,1.0,0.8,0,0.0,0.4,0,0,3.37,7.08,0,-0.23,3.51,0,0
167,Jordan Yamamoto,NYM,1.0,-2.0,-0.9,0.2,0.4,0,0,2.54,-8.20,-2.85,3.05,3.57,0,0
168,Eric Yardley,MIL,1.0,-6.2,0,0,0.5,0,0,0.67,-13.22,0,0,12.83,0,0
169,Peter Solomon,HOU,0.9,-0.2,0,-0.1,0.0,0,0,4.25,-5.15,0,-1.06,-1.07,0,0
170,Jose Cisnero,DET,0.9,-1.6,0,0,-0.7,0,0,0.44,-1.22,0,0,-2.59,0,0
171,Justin Steele,CHC,0.9,1.7,0,0.0,0.0,0,0,0.61,2.37,0,0.43,-3.45,0,0
172,Zach Eflin,PHI,0.9,0.6,1.3,-1.2,-0.7,0,0,0.18,0.45,1.22,-1.34,-0.83,0,0
173,Michael Feliz,- - -,0.9,0.7,0,0,-1.1,0,0,0.68,0.84,0,0,-15.81,0,0
174,Darren O'Day,NYY,0.9,-0.1,0,0,0,0,0,1.18,-0.07,0,0,0,0,0
175,Cesar Valdez,BAL,0.9,0.0,0,0,-2.9,0,0,1.64,-0.10,0,0,-1.04,0,0
176,Emmanuel Clase,CLE,0.9,0.5,0,0,0,0,0,0.31,0.72,0,0,0,0,0
177,Brady Lail,SEA,0.9,-2.0,0,0.0,-0.4,0,0,9.69,-25.12,0,-0.51,-11.00,0,0
178,J.B. Wendelken,OAK,0.9,-1.0,0,0,-1.7,0,0,0.61,-1.81,0,0,-11.88,0,0
179,Anthony Misiewicz,SEA,0.9,0,-3.9,1.5,0,0,0,1.06,0,-2.78,1.83,0,0,0
180,Cole Sulser,BAL,0.9,-1.0,0,0.3,3.8,0,0,0.48,-2.71,0,4.38,4.12,0,0
181,Sam Selman,SFG,0.9,-0.4,0,0,0,0,0,0.97,-0.45,0,0,0,0,0
182,Alek Manoah,TOR,0.9,1.6,0,0,0.4,0,0,1.74,6.16,0,0,3.41,0,0
183,Aaron Civale,CLE,0.9,-1.3,8.2,1.5,0,-1.0,0,0.23,-0.98,3.65,1.02,0,-0.74,0
184,Burch Smith,OAK,0.8,0,0,1.8,0.1,0,0,0.55,0,0,6.99,0.40,0,0
185,Ramon Rosso,PHI,0.8,0.0,0,0,0.0,0,0,8.36,-1.33,0,0,-2.58,0,0
186,Asdrubal Cabrera,ARI,0.8,0,0,0,0.0,0,0,5.20,0,0,0,-2.15,0,0
187,Ross Detwiler,MIA,0.8,0.8,0,1.0,0.8,0,0,0.59,0.68,0,3.04,4.15,0,0
188,Michael Pineda,MIN,0.8,1.5,0,0,0.5,0,0,0.23,0.65,0,0,0.56,0,0
189,Trevor Cahill,PIT,0.8,-0.7,0,-1.4,-2.7,0,0,0.35,-0.59,0,-1.01,-1.84,0,0
190,Lucas Sims,CIN,0.8,3.4,0,-2.5,0,0,0,0.59,2.37,0,-4.59,0,0,0
191,Yennsy Diaz,NYM,0.8,-0.1,0,0,-0.1,0,0,3.67,-1.64,0,0,-0.95,0,0
192,Brad Wieck,CHC,0.8,0.3,0,0.1,0,0,0,2.03,9.15,0,0.79,0,0,0
193,Victor Gonzalez,LAD,0.8,1.1,0,0,0,0,0,0.48,0.96,0,0,0,0,0
194,Phillip Evans,PIT,0.8,0,0,0,0,0,0,15.10,0,0,0,0,0,0
195,Zach Pop,MIA,0.8,0.9,0,0,0,0,0,0.42,0.86,0,0,0,0,0
196,Phillips Valdez,BOS,0.7,0.6,0,0,1.5,0,0,0.83,2.60,0,0,0.72,0,0
197,Jordan Hicks,STL,0.7,-0.6,0,0,0,0.7,0,0.50,-1.19,0,0,0,8.31,0
198,Edgar Santana,ATL,0.7,-1.2,0,0,0,0,0,1.04,-4.14,0,0,0,0,0
199,Demarcus Evans,TEX,0.7,0.5,0,0,0,0,0,2.56,4.73,0,0,0,0,0
200,Austin Voth,WSN,0.7,0.7,0,1.4,-1.3,0,0,0.30,1.52,0,1.55,-44.02,0,0
201,Miguel Diaz,SDP,0.7,0.2,0,0,3.8,0,0,0.66,3.04,0,0,3.21,0,0
202,Louis Head,TBR,0.7,0.9,0,0,-0.1,0,0,1.03,1.31,0,0,-3.12,0,0
203,Rich Hill,TBR,0.6,-1.5,1.5,5.0,0,0,0,0.17,-3.65,3.09,1.55,0,0,0
204,Ryan Helsley,STL,0.6,0,-2.1,0.3,0.1,0,0,0.29,0,-1.73,1.05,0.75,0,0
205,Will Vest,SEA,0.6,-1.2,0,0,-1.1,0,0,0.29,-1.37,0,0,-1.45,0,0
206,Paul Sewald,SEA,0.6,-0.5,0,0,0,0,0,0.89,-0.74,0,0,0,0,0
207,Cody Reed,TBR,0.6,-0.5,-0.3,0,0.0,0,0,0.66,-0.90,-15.79,0,-2.58,0,0
208,Braxton Garrett,MIA,0.6,-0.8,0,0.1,-0.3,0,0,2.35,-5.83,0,1.59,-7.95,0,0
209,Corey Knebel,LAD,0.5,0,0,1.1,0,0,0,1.17,0,0,2.56,0,0,0
210,JT Chargois,SEA,0.5,1.0,0,0,0,0,0,1.35,0.83,0,0,0,0,0
211,Sergio Romo,OAK,0.5,-0.9,0,0,-1.6,0,0,0.46,-0.61,0,0,-8.31,0,0
212,Casey Mize,DET,0.5,0,4.6,0.6,0,0.4,0,0.11,0,2.08,0.87,0,0.28,0
213,Lucas Giolito,CHW,0.5,-3.6,0,0.0,5.8,0,0,0.12,-2.26,0,3.92,1.66,0,0
214,Dan Altavilla,SDP,0.5,-0.9,0,0,0,0,0,4.70,-7.97,0,0,0,0,0
215,Miles Mikolas,STL,0.5,0.2,0,0.1,0.1,0,0,1.60,1.40,0,1.43,5.79,0,0
216,Carlos Estevez,COL,0.5,0.2,0,0,0.0,0,0,0.41,0.64,0,0,0.00,0,0
217,Joe Mantiply,ARI,0.5,-0.3,0,0,-2.2,0,0,1.06,-0.99,0,0,-19.86,0,0
218,Hansel Robles,MIN,0.5,-1.3,0,0,0,5.1,0,0.25,-3.88,0,0,0,3.07,0
219,Sandy Alcantara,MIA,0.5,0.5,0,-1.0,7.6,0,0,0.09,0.28,0,-2.03,2.79,0,0
220,Daniel Norris,DET,0.4,-1.8,0,0,1.4,0,0,0.41,-2.37,0,0,1.56,0,0
