#,Name,Team,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C
36,Yandy Diaz,TBR,4.3,-1.0,0.3,0.6,0.1,0.0,,1.81,-1.17,0.65,1.49,0.19,1.83,
37,Eric Hosmer,SDP,4.2,-0.4,0.8,-0.8,2.0,-0.6,,1.99,-0.46,3.24,-1.09,3.67,-5.17,
38,Luis Arraez,MIN,4.2,0.6,-2.1,0.3,1.9,-0.7,,1.56,0.99,-5.15,0.85,3.80,-7.26,
39,Pete Alonso,NYM,4.1,-0.1,0.7,0.6,0.5,-0.3,,2.07,-0.18,2.84,2.32,1.44,-8.05,
40,Justin Turner,LAD,4.1,0.0,-0.4,1.5,5.7,0.1,,1.48,0.02,-1.64,3.93,10.97,3.06,
41,Jesus Aguilar,MIA,4.0,5.2,-0.8,0.3,-1.9,-0.4,,1.92,6.03,-3.39,0.59,-5.44,-9.16,
42,David Peralta,ARI,4.0,2.8,1.1,-2.6,0.0,-0.1,,1.90,3.82,4.46,-6.38,-0.09,-1.08,
43,J.T. Realmuto,PHI,3.9,0.4,1.0,0.7,0.8,0.8,,2.09,0.40,3.73,3.15,2.90,6.54,
44,Rhys Hoskins,PHI,3.8,-0.4,1.9,0.2,-2.7,-0.2,,1.33,-0.34,7.09,0.45,-5.26,-1.79,
45,Asdrubal Cabrera,ARI,3.8,0.2,-1.2,0.3,1.7,0.4,,1.90,0.22,-6.59,0.74,3.76,8.22,
46,Matt Olson,OAK,3.5,3.1,0.4,-1.3,0.8,-0.9,,1.66,3.90,1.45,-2.13,2.42,-7.44,
47,Mookie Betts,LAD,3.5,-0.4,1.1,-1.4,1.2,1.0,,1.48,-0.35,3.76,-3.42,3.52,8.71,
48,Kyle Seager,SEA,3.5,0.7,1.1,-2.0,-0.2,0.5,,1.46,1.04,3.61,-3.23,-0.19,5.47,
49,Avisail Garcia,MIL,3.4,-1.7,-0.4,-2.0,0.8,,,1.80,-1.56,-1.84,-7.41,2.41,,
50,Austin Riley,ATL,3.3,-1.6,-0.5,1.7,3.5,0.5,,1.47,-2.12,-1.45,5.13,9.95,26.94,
51,Enrique Hernandez,BOS,3.3,-0.8,-1.0,0.2,-1.5,,-0.1,1.32,-1.03,-2.82,0.57,-2.10,,-4.83
52,Max Muncy,LAD,3.2,1.5,0.1,-0.2,1.3,-0.1,,1.40,1.39,0.39,-0.29,1.61,-0.89,
53,Ozzie Albies,ATL,3.2,0.4,-0.1,1.0,0.5,-0.5,,1.43,0.77,-0.31,1.83,0.66,-7.84,
54,Salvador Perez,KCR,3.1,2.2,2.0,-0.5,-2.4,-0.2,,1.78,2.00,5.58,-1.17,-4.71,-4.15,
55,J.D. Martinez,BOS,3.1,2.6,-1.4,5.4,1.1,1.4,,1.47,2.47,-5.45,8.58,2.71,27.51,
56,Gio Urshela,NYY,2.9,-2.0,3.1,-2.1,-0.9,0.0,,1.55,-2.34,7.28,-4.73,-2.50,-0.43,
57,Eduardo Escobar,ARI,2.8,-3.2,-0.7,3.1,2.0,,,1.20,-2.95,-2.36,7.53,3.12,,
58,Brandon Nimmo,NYM,2.7,0.1,0.5,0.8,2.0,,,1.36,0.12,4.21,3.12,5.06,,
59,Willson Contreras,CHC,2.6,1.3,1.5,-0.6,-0.9,-0.2,,1.27,1.35,8.14,-2.18,-1.76,-21.58,
60,Freddy Galvis,BAL,2.6,0.5,0.8,-0.1,-1.4,-0.1,,1.25,1.21,6.36,-0.18,-2.16,-1.67,
61,Austin Meadows,TBR,2.5,-1.2,0.4,1.1,0.9,0.6,,0.97,-1.22,1.64,1.93,1.05,9.98,
62,Corey Seager,LAD,2.5,2.5,-0.5,-0.1,-2.1,0.4,,1.57,2.13,-1.49,-0.12,-2.90,3.90,
63,Willy Adames,TBR,2.4,-3.1,0.7,-1.0,-2.4,-0.2,,1.17,-3.83,2.44,-3.71,-4.79,-4.14,
64,Joey Gallo,TEX,2.4,2.5,1.4,-1.1,-0.9,-1.1,,0.90,2.25,4.62,-1.77,-1.39,-5.35,
65,Jurickson Profar,SDP,2.3,-2.0,-0.2,0.4,-1.9,0.3,,0.93,-2.66,-0.56,0.77,-2.66,4.29,
66,Paul DeJong,STL,2.3,-0.8,-0.1,-1.2,-1.8,0.1,,0.97,-0.82,-0.36,-3.95,-3.48,1.55,
67,Jackie Bradley Jr.,MIL,2.1,-3.6,-0.1,-0.9,0.2,-0.1,,1.28,-6.04,-0.46,-1.11,0.48,-6.61,
68,Luis Urias,MIL,2.0,1.3,-0.8,-1.4,0.4,-0.2,,1.01,1.78,-2.31,-4.26,1.21,-6.90,
69,Robbie Grossman,DET,2.0,-0.2,1.0,1.1,-0.5,-1.1,,0.68,-0.48,2.12,1.71,-0.75,-11.18,
70,Jorge Polanco,MIN,2.0,-1.3,1.3,-0.4,0.1,0.1,,1.00,-2.19,3.41,-1.02,0.17,1.77,
71,Cedric Mullins II,BAL,2.0,5.9,3.7,0.0,-0.1,-0.3,,0.64,9.03,14.13,-0.09,-0.28,-4.77,
72,Nick Madrigal,CHW,1.9,1.0,-0.5,0.2,1.0,0.4,,1.00,1.42,-2.72,0.53,7.75,7.47,
73,Tommy Edman,STL,1.9,3.5,-0.7,-0.8,1.2,0.3,,0.67,5.09,-2.59,-1.69,1.20,8.09,
74,Jeff McNeil,NYM,1.9,-0.7,-1.7,1.3,-0.1,-0.3,,1.36,-2.30,-4.85,7.32,-0.21,-8.55,
75,Aaron Judge,NYY,1.8,0.6,1.9,2.3,-0.1,-0.1,,0.90,0.54,3.80,5.15,-0.20,-1.01,
76,Trevor Story,COL,1.7,-0.5,0.9,2.2,2.4,,,0.72,-0.47,2.14,3.73,4.04,,
77,Josh Naylor,CLE,1.7,-2.9,0.7,1.7,-1.4,-0.3,,1.19,-3.89,6.91,4.28,-3.32,-9.00,
78,Jose Ramirez,CLE,1.7,0.4,1.0,4.2,1.3,-0.4,,0.73,0.55,5.78,8.88,1.22,-10.44,
79,Raimel Tapia,COL,1.6,-0.6,-0.3,1.7,3.0,1.4,,0.69,-1.29,-1.04,3.93,5.47,35.06,
80,Alex Bregman,HOU,1.6,0.1,-1.9,2.3,1.2,0.0,,0.96,0.17,-4.79,6.85,2.02,1.35,
81,Ramon Laureano,OAK,1.3,0.6,0.6,1.3,0.3,-0.2,,0.56,0.58,1.67,3.26,0.86,-2.66,
82,Nelson Cruz,MIN,1.3,5.1,-1.0,3.1,-1.0,-0.2,,0.73,4.61,-3.88,9.53,-2.47,-10.49,
83,Brandon Lowe,TBR,1.3,-3.2,2.2,-0.2,-0.8,0.3,,0.62,-3.75,7.66,-0.43,-0.93,4.06,
84,Miguel Rojas,MIA,1.2,-0.6,0.4,0.1,0.1,-0.2,,0.57,-0.66,1.53,0.22,0.24,-24.45,
85,Joey Wendle,TBR,1.2,0.2,0.3,-1.4,0.3,1.0,,0.65,0.36,2.55,-3.23,0.80,26.06,
86,Amed Rosario,CLE,1.2,-2.3,0.4,-0.9,-3.2,0.0,,0.79,-2.62,2.92,-5.57,-6.63,0.29,
87,Trey Mancini,BAL,1.2,-0.9,1.3,0.2,-2.2,-0.5,,0.54,-0.82,4.04,0.35,-3.05,-16.59,
88,Yoan Moncada,CHW,1.1,3.3,1.5,0.5,-2.4,-0.1,,0.46,6.26,5.23,0.65,-3.22,-0.59,
89,Isiah Kiner-Falefa,TEX,1.0,3.0,1.1,-0.5,-0.5,-0.9,,0.43,3.35,3.19,-1.05,-0.96,-5.58,
90,Erik Gonzalez,PIT,1.0,-3.4,-1.4,0.7,-2.1,-0.7,,0.75,-3.59,-4.37,3.65,-7.61,-8.68,
91,Adam Frazier,PIT,1.0,2.4,-0.9,-0.6,1.5,-0.2,,0.36,3.07,-2.44,-1.39,3.56,-8.68,
92,Jake Cronenworth,SDP,0.9,0.0,-1.3,2.2,-0.9,-1.2,,0.31,-0.07,-4.16,6.16,-1.52,-12.80,
93,Randal Grichuk,TOR,0.9,-0.6,-1.7,2.3,1.6,0.0,,0.50,-0.73,-5.14,4.89,4.71,4.49,
94,Jorge Soler,KCR,0.8,-0.7,-1.1,-0.5,-0.7,0.1,,0.43,-0.58,-3.79,-0.76,-1.37,1.13,
95,Andrew Benintendi,KCR,0.8,-0.1,-0.8,0.5,1.1,2.0,,0.39,-0.14,-3.64,1.31,1.80,17.74,
96,Victor Robles,WSN,0.8,-1.3,-0.6,-0.4,0.2,0.1,,0.44,-1.37,-2.86,-1.21,1.10,3.58,
97,Tyler Naquin,CIN,0.7,0.6,-0.1,-0.2,4.6,-0.2,,0.34,2.24,-0.87,-0.61,16.43,-6.37,
98,Ryan McMahon,COL,0.7,1.8,1.2,0.5,-0.7,,,0.30,3.41,4.24,1.20,-0.76,,
99,Anthony Rizzo,CHC,0.7,-1.4,-0.8,4.8,-0.8,-0.2,,0.23,-1.74,-2.09,9.45,-1.25,-2.41,
100,Luis Robert,CHW,0.5,-0.8,-0.2,4.0,-0.1,0.3,,0.32,-0.79,-1.29,11.72,-0.45,3.48,
101,Jeimer Candelario,DET,0.5,-0.4,-1.1,0.8,0.6,-1.0,,0.24,-0.42,-3.19,1.42,1.12,-6.21,
102,Nicky Lopez,KCR,0.4,2.3,0.9,-1.3,-1.2,-0.3,,0.21,6.34,3.56,-3.39,-2.98,-2.35,
103,Matt Chapman,OAK,0.3,0.1,0.1,-0.6,0.4,-0.3,,0.10,0.09,0.19,-1.68,0.63,-2.05,
104,Paul Goldschmidt,STL,0.3,-1.9,-1.6,-1.0,1.2,-0.2,,0.12,-1.57,-5.96,-2.76,2.06,-2.56,
105,Wil Myers,SDP,0.2,3.2,-0.9,-0.4,-0.8,0.7,,0.11,2.58,-7.17,-0.72,-2.89,13.71,
106,Christian Vazquez,BOS,0.1,-3.4,1.9,0.2,-1.3,0.6,,0.06,-6.44,5.44,0.69,-3.33,6.92,
107,DJ LeMahieu,NYY,0.0,0.2,0.1,0.6,-1.5,0.2,,0.00,0.18,0.24,1.60,-3.26,5.08,
108,Pavin Smith,ARI,0.0,-1.3,1.1,0.2,1.0,0.4,,0.00,-1.65,15.99,0.53,1.94,14.72,
109,Dansby Swanson,ATL,0.0,-1.7,-1.0,-1.4,-0.8,0.0,,0.00,-1.55,-3.00,-1.99,-1.76,1.83,
